
j' [ʒ]
ainsi [êsi]
airain [ɛʁê]
Airbus [ɛʁbys]
air [ɛʁ]
aire [ɛʁ]
airer [eʁe]
Aires [ɛʁ]
aisance [ɛzâs]
ais [ɛ]
aise [ɛz]
aisé [eze]
aisément [ezemâ]
Aisne [ɛn]
aisselle [ɛsɛl]
Aix [ɛks]
Aix-en-Provence [ɛksâpʁɔvâs]
Aix-la-Chapelle [ɛkslaʃapɛl]
Aix-les-Bains [ɛkslebê]
Ajaccio [aʒaksjo]
ajournement [aʒuʁnəmâ]
ajourner [aʒuʁne]
ajout [aʒu]
ajouter [aʒute]
ajustage [aʒystaʒ]
ajustement [aʒystəmâ]
ajuster [aʒyste]
ajusteur [aʒystœʁ]
ajutage [aʒytaʒ]
Akhenaton [akenatô]
Alabama [alabama]
alacrité [alakʁite]
Alain [alê]
alambic [alâbik]
Alan [alan]
alarmant [alaʁmâ]
alarme [alaʁm]
alarmer [alaʁme]
alarmiste [alaʁmist]
Alaska [alaska]
albanais [albanɛ]
Alban [albâ]
Albanie [albani]
albâtre [albatʁ]
albatros [albatʁos]
Alberta [albɛʁta]
Albert [albɛʁ]
Alberte [albɛʁt]
Albertine [albɛʁtin]
Albi [albi]
albigeois [albiʒwa]
Albin [albê]
albinisme [albinism]
albinos [albinos]
Albion [albjô]
albite [albit]
Albret [albʁɛ]
album [albɔm]
albumen [albymɛn]
albumine [albymin]
albumineux [albyminø]
albuminoïde [albyminɔid]
albuminurie [albyminyʁi]
Albuquerque [albykɛʁk]
alcade [alkad]
alcali [alkali]
alcalin [alkalê]
alcalinité [alkalinite]
alcaloïde [alkalɔid]
alcalose [alkaloz]
alchimie [alʃimi]
alchimique [alʃimik]
alchimiste [alʃimist]
Alcibiade [alsibjad]
alcool [alkɔl]
alcoolique [alkɔlik]
alcoolisation [alkɔlizasjô]
alcoolisme [alkɔlism]
alcôve [alkov]
aldéhyde [aldeid]
aléa [alea]
aléatoire [aleatwaʁ]
aléatoirement [aleatwaʁmâ]
ale [ɛl]
Alegre [alɛɡʁe]
alémanique [alemanik]
Alençon [alâsô]
alentour [alâtuʁ]
Alep [alɛp]
alerte [alɛʁt]
alerter [alɛʁte]
alésage [alezaʒ]
Alès [alɛs]
Alésia [alezja]
Alessandro [alesâdʁo]
Alex [alɛks]
Alexander [alɛksâdœʁ]
Alexandre [alɛksâdʁ]
Alexandrie [alɛksâdʁi]
alexandrin [alɛksâdʁê]
Alexia [alɛksja]
alexine [alɛksin]
Alexis [alɛksi]
alezan [alzâ]
alfa [alfa]
Alfortville [alfɔʁvil]
Alfred [alfʁɛd]
algarade [alɡaʁad]
Algarve [alɡaʁv]
algèbre [alʒɛbʁ]
algébrique [alʒebʁik]
algébriquement [alʒebʁikmâ]
Alger [alʒe]
Algérie [alʒeʁi]
algérien [alʒeʁjê]
algérois [alʒeʁwa]
algorithme [alɡɔʁitm]
algue [alɡ]
Ali [ali]
alias [aljas]
alibi [alibi]
Alice [alis]
Alicia [alisja]
Alida [alida]
alidade [alidad]
aliénable [aljenabl]
aliénant [aljenâ]
aliénateur [aljenatœʁ]
aliénation [aljenasjô]
aliéné [aljene]
aliéner [aljene]
aliéniste [aljenist]
alignement [aliɲmâ]
aligner [aliɲe]
alimentaire [alimâtɛʁ]
aliment [alimâ]
alimentation [alimâtasjô]
alimenter [alimâte]
alinéa [alinea]
Aline [alin]
alios [aljos]
aliquote [alikɔt]
Alison [alisɔn]
alité [alite]
aliter [alite]
Alix [aliks]
alizarine [alizaʁin]
alizé [alize]
Alken [alkən]
Allah [ala]
allaitement [alɛtmâ]
allaiter [alete]
Allan [alan]
allant [alâ]
allégation [aleɡasjô]
allégeance [aleʒâs]
allègement [alɛʒmâ]
alléger [aleʒe]
allégorie [aleɡɔʁi]
allégorique [aleɡɔʁik]
allégoriquement [aleɡɔʁikmâ]
allègre [alɛɡʁ]
allègrement [alɛɡʁəmâ]
allégresse [aleɡʁɛs]
alléguer [aleɡe]
allèle [alɛl]
Allemagne [almaɲ]
allemand [almâ]
aller [ale]
allergie [alɛʁʒi]
allergique [alɛʁʒik]
alleu [alø]
Alleur [alœʁ]
alliage [aljaʒ]
alliance [aljâs]
allié [alje]
allier [alje]
Allier [alje]
allitération [aliteʁasjô,alliteʁasjô]
allô [alo]
allocataire [alɔkatɛʁ]
allocation [alɔkasjô]
allocutaire [alɔkytɛʁ,allɔkytɛʁ]
allocution [alɔkysjô]
allogène [alɔʒɛn]
allonge [alôʒ]
allongement [alôʒmâ]
allonger [alôʒe]
allouer [alwe]
allumage [alymaʒ]
allumé [alyme]
allumer [alyme]
allumette [alymɛt]
allure [alyʁ]
allusif [alyzif,allyzif]
allusion [alyzjô]
alluvial [alyvjal]
alluvion [alyvjô]
alluvionnaire [alyvjɔnɛʁ,allyvjɔnɛʁ]
alluvionnement [alyvjɔnmâ,allyvjɔnmâ]
Alma [alma]
almanach [almana]
Almaty [almati]
aloès [alɔɛs]
aloi [alwa]
alopécie [alɔpesi]
alors [alɔʁ]
Alost [alɔst]
alouette [alwɛt]
alourdir [aluʁdiʁ]
alourdissement [aluʁdismâ]
alpage [alpaʒ]
Alpes [alp]
Alpes-de-Haute-Provence [alpdəotpʁɔvâs]
Alpes-Maritimes [alpmaʁitim]
alpestre [alpɛstʁ]
alpha [alfa]
alphabet [alfabɛ]
